url,clics,impressions,ctr,position
https://claudeagency.fr/blog/logiciel-organisme-formation/,1,438,0.00228310502283105,72.87899543378995
https://claudeagency.fr/,4,227,0.01762114537444934,41.986784140969164
https://claudeagency.fr/agence-marketing-claude/,2,188,0.010638297872340425,58.21808510638298
https://www.claudeagency.fr/blog/automatiser-bpf-organisme-formation/,0,138,0,36.833333333333336
https://claudeagency.fr/services/seo/,0,134,0,36.94776119402985
https://claudeagency.fr/blog/,0,79,0,81.0379746835443
https://claudeagency.fr/blog/formation-claude/,0,70,0,47.042857142857144
https://claudeagency.fr/services/formation-ia/,0,54,0,29.61111111111111
https://claudeagency.fr/services/,0,53,0,62.056603773584904
https://claudeagency.fr/diagnostic/,0,37,0,77.05405405405405
https://claudeagency.fr/blog/claude-ai-en-francais/,0,35,0,27.4
https://claudeagency.fr/blog/lms-organisme-formation/,0,33,0,60.303030303030305
https://claudeagency.fr/blog/formation-claude-code/,0,31,0,42.935483870967744
https://claudeagency.fr/contact/,0,27,0,40.96296296296296
https://claudeagency.fr/blog/claude-agency-vs-concurrents/,0,26,0,55.11538461538461
https://claudeagency.fr/blog/evaluer-apprenants-ia/,0,24,0,23.125
https://claudeagency.fr/blog/livret-accueil-stagiaire/,0,23,0,44.08695652173913
https://claudeagency.fr/a-propos/,1,22,0.045454545454545456,18.636363636363637
https://claudeagency.fr/ressources/10-automatisations-ia/,0,19,0,85.15789473684211
https://claudeagency.fr/blog/outils-ia-organisme-formation/,0,17,0,77.70588235294117
https://claudeagency.fr/blog/ai-act-organisme-formation,0,16,0,89.9375
https://claudeagency.fr/blog/make-automatisation-organisme-formation/,0,14,0,19.857142857142858
https://claudeagency.fr/services/integration-ia/,0,14,0,84.64285714285714
https://claudeagency.fr/blog/feuille-emargement/,0,13,0,24.23076923076923
https://www.claudeagency.fr/blog/numero-declaration-activite/,0,13,0,31.384615384615383
https://claudeagency.fr/blog/accessibilite-formation-ia/,0,12,0,44
https://www.claudeagency.fr/blog/seo-organisme-formation/,0,12,0,17.416666666666668
https://www.claudeagency.fr/blog/qualiopi-guide-organisme-formation/,0,10,0,41.2
https://claudeagency.fr/blog/ai-act-organisme-formation/,0,9,0,29.444444444444443
https://claudeagency.fr/blog/claude-code-organisme-formation/,0,8,0,52
https://www.claudeagency.fr/blog/remplir-bpf-organisme-formation/,0,8,0,23.5
https://claudeagency.fr/blog/cas-usage-claude-organisme-formation/,0,7,0,98.42857142857143
https://claudeagency.fr/blog/claude-pour-le-marketing/,0,6,0,23.5
https://claudeagency.fr/blog/formation-autofinancee-france-travail/,0,6,0,12.833333333333334
https://www.claudeagency.fr/blog/lms-organisme-formation/,0,6,0,20.666666666666668
https://claudeagency.fr/services/optimisation-site/,0,5,0,70.8
https://claudeagency.fr/blog/convention-de-formation/,0,4,0,13.75
https://www.claudeagency.fr/blog/indicateurs-qualiopi/,0,4,0,36
https://claudeagency.fr/blog/audit-surveillance-qualiopi/,0,3,0,42.666666666666664
https://claudeagency.fr/blog/financer-formation-opco-cpf-france-travail/,0,3,0,21.333333333333332
https://www.claudeagency.fr/blog/linkedin-organisme-formation/,0,3,0,7
https://claudeagency.fr/blog/crm-organisme-formation/,0,2,0,52.5
https://claudeagency.fr/blog/questionnaire-satisfaction-formation/,0,2,0,31
https://claudeagency.fr/blog/sous-traitance-pedagogique-formation/,0,2,0,28
https://claudeagency.fr/blog/objectifs-pedagogiques-ia/,1,1,1,3
https://claudeagency.fr/blog/automatiser-emargement-suivi-stagiaires/,0,1,0,46
https://claudeagency.fr/blog/donnees-stagiaires-rgpd-ia/,0,1,0,25
https://claudeagency.fr/blog/prospection-commerciale-organisme-formation/,0,1,0,4
https://www.claudeagency.fr/blog/catalogue-formation-organisme/,0,1,0,45
https://www.claudeagency.fr/blog/make-automatisation-organisme-formation/,0,1,0,21
https://www.claudeagency.fr/blog/referencer-formation-mon-compte-formation/,0,1,0,44
